Week,Exponential-case 95%,Exponential-case 50%,Constant-case
2020-05-30,7.0,4.0,4.0
2020-06-06,5.049999999999997,2.5,3.5
2020-06-13,4.049999999999997,2.0,3.0
2020-06-20,4.0,1.0,2.0
2020-06-27,3.0,1.0,2.0
2020-07-04,2.049999999999997,1.0,3.0
2020-07-11,2.0,0.0,2.0
