Week,Exponential-case 95%,Exponential-case 50%,Constant-case
2020-05-30,34.0,20.5,20.0
2020-06-06,27.0,16.0,15.0
2020-06-13,22.0,11.5,12.0
2020-06-20,17.0,9.0,10.0
2020-06-27,13.099999999999994,7.0,8.0
2020-07-04,12.0,5.0,6.5
2020-07-11,9.0,4.0,6.0
