Week,Exponential-case 95%,Exponential-case 50%,Constant-case
2020-05-30,4.0,1.0,1.0
2020-06-06,3.0,1.0,1.0
2020-06-13,2.049999999999997,1.0,1.0
2020-06-20,2.0,0.0,1.0
2020-06-27,2.0,0.0,1.0
2020-07-04,1.0,0.0,1.0
2020-07-11,1.0,0.0,1.0
