0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,2.0
0.0,0.0,0.0,4.0,0.0,0.0
5.0,0.0,0.0,4.0,0.0,5.0
9.0,0.0,0.0,5.0,0.0,5.0
6.0,0.0,0.0,8.0,0.0,0.0
6.0,0.0,0.0,8.0,0.0,0.0
3.0,0.0,0.0,12.0,1.0,2.0
3.0,0.0,0.0,12.0,1.0,0.0
3.0,0.0,0.0,13.0,1.0,1.0
7.0,0.0,0.0,13.0,1.0,4.0
11.0,0.0,0.0,13.0,1.0,4.0
11.0,0.0,0.0,13.0,1.0,0.0
16.0,1.0,0.0,13.0,1.0,6.0
23.0,1.0,0.0,17.0,3.0,13.0
27.0,1.0,0.0,18.0,3.0,5.0
38.0,1.0,0.0,18.0,3.0,11.0
52.0,1.0,0.0,26.0,3.0,22.0
60.0,1.0,0.0,27.0,5.0,11.0
73.0,4.0,0.0,33.0,8.0,25.0
84.0,7.0,0.0,41.0,9.0,23.0
107.0,8.0,0.0,45.0,13.0,32.0
153.0,9.0,0.0,50.0,19.0,58.0
177.0,6.0,0.0,79.0,26.0,57.0
214.0,8.0,0.0,85.0,29.0,48.0
254.0,12.0,0.0,100.0,31.0,61.0
282.0,14.0,1.0,119.0,36.0,55.0
297.0,23.0,1.0,144.0,50.0,63.0
304.0,23.0,1.0,171.0,61.0,45.0
315.0,24.0,2.0,196.0,68.0,45.0
324.0,26.0,2.0,222.0,77.0,46.0
322.0,26.0,2.0,245.0,83.0,27.0
302.0,26.0,2.0,275.0,94.0,21.0
298.0,29.0,2.0,304.0,98.0,32.0
296.0,30.0,2.0,323.0,101.0,21.0
294.0,34.0,1.0,347.0,106.0,30.0
285.0,38.0,1.0,371.0,115.0,28.0
278.0,40.0,1.0,385.0,126.0,20.0
254.0,40.0,4.0,414.0,141.0,23.0
246.0,40.0,4.0,435.0,150.0,22.0
217.0,43.0,4.0,453.0,167.0,9.0
211.0,42.0,6.0,470.0,172.0,17.0
203.0,39.0,9.0,486.0,176.0,12.0
190.0,38.0,7.0,513.0,179.0,14.0
183.0,35.0,6.0,537.0,181.0,15.0
180.0,38.0,6.0,541.0,188.0,11.0
171.0,36.0,8.0,555.0,190.0,7.0
157.0,35.0,10.0,571.0,201.0,14.0
157.0,37.0,8.0,586.0,205.0,19.0
142.0,37.0,8.0,610.0,214.0,18.0
127.0,39.0,7.0,627.0,220.0,9.0
136.0,37.0,6.0,635.0,225.0,19.0
138.0,35.0,8.0,647.0,226.0,15.0
130.0,35.0,8.0,653.0,234.0,6.0
130.0,35.0,8.0,659.0,238.0,10.0
116.0,35.0,3.0,675.0,243.0,2.0
116.0,35.0,3.0,683.0,244.0,9.0
94.0,37.0,1.0,699.0,251.0,1.0
81.0,35.0,4.0,712.0,258.0,8.0
68.0,35.0,4.0,722.0,262.0,1.0
65.0,35.0,4.0,724.0,267.0,4.0
63.0,34.0,2.0,729.0,270.0,3.0
54.0,33.0,3.0,733.0,275.0,0.0
56.0,32.0,3.0,737.0,276.0,6.0
57.0,29.0,5.0,740.0,282.0,9.0
47.0,29.0,5.0,742.0,291.0,1.0
49.0,29.0,4.0,743.0,292.0,3.0
44.0,27.0,4.0,750.0,293.0,1.0
49.0,27.0,4.0,751.0,293.0,6.0
42.0,25.0,6.0,757.0,294.0,0.0
37.0,24.0,5.0,763.0,296.0,1.0
30.0,24.0,4.0,772.0,296.0,1.0
29.0,21.0,4.0,775.0,298.0,1.0
31.0,20.0,5.0,775.0,299.0,3.0
31.0,20.0,5.0,777.0,299.0,2.0
25.0,20.0,4.0,783.0,300.0,0.0
21.0,19.0,4.0,787.0,302.0,1.0
18.0,18.0,5.0,789.0,303.0,0.0
16.0,18.0,5.0,791.0,303.0,0.0
15.0,15.0,4.0,793.0,307.0,1.0
11.0,15.0,3.0,794.0,312.0,1.0
12.0,13.0,3.0,796.0,312.0,1.0
11.0,13.0,3.0,796.0,313.0,0.0
11.0,13.0,1.0,798.0,313.0,0.0
11.0,13.0,1.0,798.0,313.0,0.0
