0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,3.0
3.0,0.0,0.0,3.0,0.0,0.0
4.0,0.0,0.0,4.0,0.0,2.0
2.0,0.0,0.0,6.0,0.0,0.0
3.0,0.0,0.0,8.0,0.0,3.0
5.0,0.0,0.0,8.0,0.0,2.0
3.0,0.0,0.0,10.0,0.0,0.0
3.0,0.0,0.0,10.0,0.0,0.0
3.0,0.0,0.0,11.0,2.0,3.0
1.0,0.0,0.0,13.0,2.0,0.0
1.0,0.0,0.0,13.0,2.0,0.0
3.0,0.0,0.0,13.0,2.0,2.0
5.0,0.0,0.0,13.0,2.0,2.0
4.0,0.0,0.0,14.0,2.0,0.0
10.0,1.0,0.0,14.0,2.0,7.0
13.0,1.0,0.0,17.0,3.0,7.0
16.0,1.0,0.0,19.0,3.0,5.0
17.0,3.0,0.0,19.0,3.0,3.0
23.0,3.0,0.0,25.0,4.0,13.0
29.0,3.0,0.0,27.0,6.0,10.0
55.0,4.0,0.0,31.0,7.0,32.0
75.0,5.0,0.0,38.0,8.0,29.0
93.0,10.0,0.0,43.0,11.0,31.0
128.0,10.0,0.0,55.0,19.0,55.0
162.0,9.0,0.0,70.0,24.0,53.0
193.0,10.0,0.0,85.0,29.0,52.0
243.0,11.0,0.0,99.0,37.0,73.0
273.0,13.0,0.0,119.0,46.0,61.0
295.0,14.0,0.0,146.0,55.0,59.0
304.0,14.0,0.0,176.0,62.0,46.0
317.0,12.0,2.0,197.0,70.0,42.0
339.0,16.0,0.0,219.0,76.0,52.0
332.0,16.0,0.0,243.0,81.0,22.0
323.0,16.0,0.0,269.0,89.0,25.0
307.0,19.0,0.0,301.0,96.0,26.0
307.0,21.0,0.0,313.0,99.0,17.0
306.0,22.0,0.0,338.0,106.0,32.0
295.0,22.0,0.0,362.0,116.0,23.0
291.0,24.0,0.0,377.0,125.0,22.0
262.0,28.0,1.0,404.0,144.0,22.0
257.0,25.0,1.0,420.0,155.0,19.0
237.0,27.0,1.0,440.0,172.0,19.0
218.0,29.0,2.0,467.0,179.0,18.0
233.0,28.0,3.0,479.0,183.0,31.0
231.0,27.0,3.0,504.0,189.0,28.0
223.0,28.0,1.0,521.0,191.0,10.0
206.0,29.0,1.0,532.0,209.0,13.0
192.0,29.0,2.0,547.0,216.0,9.0
186.0,29.0,2.0,558.0,224.0,13.0
175.0,30.0,2.0,577.0,230.0,15.0
155.0,30.0,2.0,599.0,236.0,8.0
145.0,33.0,1.0,613.0,242.0,12.0
127.0,36.0,0.0,628.0,256.0,13.0
117.0,35.0,1.0,638.0,262.0,6.0
106.0,35.0,1.0,649.0,268.0,6.0
93.0,35.0,1.0,659.0,277.0,6.0
90.0,35.0,1.0,669.0,279.0,9.0
88.0,35.0,1.0,676.0,280.0,6.0
77.0,36.0,0.0,684.0,285.0,2.0
68.0,35.0,1.0,694.0,291.0,7.0
63.0,35.0,1.0,699.0,291.0,0.0
68.0,35.0,1.0,700.0,292.0,7.0
62.0,33.0,3.0,707.0,295.0,4.0
55.0,32.0,4.0,711.0,299.0,1.0
52.0,30.0,5.0,718.0,299.0,3.0
56.0,26.0,9.0,720.0,301.0,8.0
59.0,26.0,9.0,720.0,302.0,4.0
60.0,24.0,8.0,721.0,307.0,4.0
60.0,24.0,4.0,727.0,307.0,2.0
64.0,24.0,3.0,728.0,307.0,4.0
64.0,22.0,5.0,729.0,307.0,1.0
59.0,19.0,9.0,731.0,311.0,2.0
52.0,19.0,7.0,741.0,312.0,2.0
50.0,16.0,7.0,744.0,314.0,0.0
47.0,13.0,10.0,744.0,318.0,1.0
48.0,13.0,9.0,745.0,318.0,1.0
45.0,13.0,7.0,750.0,318.0,0.0
44.0,13.0,3.0,756.0,319.0,2.0
39.0,13.0,3.0,759.0,321.0,0.0
30.0,13.0,3.0,766.0,323.0,0.0
27.0,12.0,2.0,770.0,324.0,0.0
19.0,12.0,2.0,770.0,332.0,0.0
20.0,11.0,2.0,771.0,332.0,1.0
19.0,11.0,2.0,771.0,333.0,0.0
18.0,11.0,1.0,772.0,334.0,0.0
18.0,11.0,1.0,772.0,334.0,0.0
