0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,3.0
3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,2.0
2.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,5.0,0.0,3.0
4.0,0.0,0.0,5.0,0.0,1.0
1.0,0.0,0.0,8.0,0.0,0.0
1.0,0.0,0.0,8.0,0.0,0.0
3.0,0.0,0.0,8.0,1.0,3.0
3.0,0.0,0.0,8.0,1.0,0.0
4.0,0.0,0.0,8.0,1.0,1.0
9.0,0.0,0.0,8.0,1.0,5.0
8.0,0.0,0.0,10.0,1.0,1.0
4.0,0.0,0.0,18.0,1.0,4.0
10.0,1.0,0.0,18.0,1.0,7.0
12.0,1.0,0.0,23.0,2.0,8.0
15.0,1.0,0.0,23.0,2.0,3.0
23.0,2.0,0.0,27.0,2.0,13.0
26.0,2.0,0.0,35.0,7.0,16.0
26.0,5.0,0.0,38.0,8.0,7.0
47.0,6.0,0.0,38.0,9.0,23.0
63.0,8.0,0.0,46.0,11.0,28.0
96.0,8.0,0.0,51.0,13.0,40.0
112.0,7.0,3.0,61.0,25.0,40.0
173.0,6.0,3.0,71.0,28.0,73.0
201.0,8.0,0.0,84.0,34.0,46.0
249.0,10.0,0.0,98.0,37.0,67.0
268.0,13.0,0.0,122.0,41.0,50.0
295.0,15.0,0.0,149.0,46.0,61.0
297.0,14.0,1.0,180.0,54.0,41.0
317.0,13.0,3.0,193.0,63.0,43.0
333.0,14.0,3.0,224.0,69.0,54.0
325.0,14.0,3.0,260.0,77.0,36.0
314.0,14.0,3.0,284.0,88.0,24.0
301.0,13.0,3.0,311.0,99.0,24.0
291.0,13.0,3.0,328.0,106.0,14.0
287.0,13.0,1.0,360.0,107.0,27.0
275.0,15.0,1.0,384.0,118.0,25.0
245.0,16.0,1.0,404.0,136.0,9.0
231.0,15.0,3.0,427.0,148.0,22.0
227.0,16.0,3.0,442.0,154.0,18.0
215.0,16.0,3.0,459.0,163.0,14.0
207.0,21.0,3.0,473.0,168.0,16.0
212.0,21.0,3.0,491.0,174.0,29.0
206.0,22.0,4.0,509.0,176.0,16.0
201.0,22.0,4.0,524.0,179.0,13.0
193.0,23.0,4.0,529.0,189.0,8.0
186.0,22.0,5.0,542.0,191.0,8.0
188.0,22.0,6.0,550.0,196.0,16.0
177.0,25.0,4.0,573.0,198.0,15.0
163.0,25.0,4.0,595.0,207.0,17.0
156.0,28.0,3.0,611.0,210.0,14.0
147.0,30.0,3.0,621.0,218.0,11.0
142.0,30.0,3.0,637.0,223.0,16.0
131.0,30.0,3.0,651.0,227.0,7.0
120.0,30.0,3.0,665.0,237.0,13.0
110.0,28.0,1.0,681.0,241.0,6.0
116.0,28.0,1.0,683.0,242.0,9.0
104.0,28.0,1.0,694.0,245.0,2.0
88.0,28.0,1.0,709.0,252.0,6.0
74.0,28.0,1.0,721.0,255.0,1.0
76.0,28.0,1.0,724.0,256.0,6.0
71.0,27.0,2.0,731.0,257.0,3.0
67.0,25.0,4.0,735.0,260.0,3.0
63.0,21.0,5.0,742.0,262.0,2.0
68.0,18.0,6.0,744.0,266.0,9.0
64.0,18.0,6.0,747.0,271.0,4.0
61.0,17.0,4.0,752.0,276.0,4.0
58.0,16.0,4.0,755.0,278.0,1.0
63.0,16.0,4.0,755.0,278.0,5.0
56.0,15.0,5.0,760.0,280.0,0.0
51.0,14.0,5.0,764.0,283.0,1.0
40.0,14.0,4.0,776.0,283.0,0.0
42.0,12.0,3.0,780.0,284.0,4.0
46.0,10.0,5.0,780.0,284.0,4.0
46.0,10.0,4.0,782.0,284.0,1.0
42.0,10.0,3.0,788.0,284.0,1.0
38.0,9.0,3.0,793.0,285.0,1.0
37.0,9.0,3.0,795.0,286.0,2.0
28.0,9.0,3.0,803.0,287.0,0.0
25.0,8.0,3.0,806.0,292.0,4.0
19.0,8.0,3.0,806.0,299.0,1.0
19.0,8.0,1.0,809.0,299.0,1.0
16.0,8.0,1.0,809.0,302.0,0.0
16.0,8.0,1.0,809.0,302.0,0.0
15.0,8.0,1.0,810.0,302.0,0.0
