0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
3.0,0.0,0.0,2.0,0.0,3.0
3.0,0.0,0.0,2.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,1.0
2.0,0.0,0.0,4.0,0.0,0.0
3.0,0.0,0.0,6.0,0.0,3.0
3.0,0.0,0.0,7.0,0.0,1.0
3.0,0.0,0.0,7.0,0.0,0.0
3.0,0.0,0.0,7.0,0.0,0.0
3.0,0.0,0.0,9.0,1.0,3.0
3.0,0.0,0.0,9.0,1.0,0.0
4.0,0.0,0.0,9.0,1.0,1.0
11.0,0.0,0.0,9.0,1.0,7.0
17.0,0.0,0.0,9.0,1.0,6.0
14.0,0.0,0.0,13.0,1.0,1.0
18.0,3.0,0.0,13.0,1.0,7.0
24.0,3.0,0.0,18.0,3.0,13.0
26.0,3.0,0.0,21.0,3.0,5.0
31.0,3.0,0.0,22.0,3.0,6.0
33.0,3.0,0.0,31.0,3.0,11.0
41.0,3.0,0.0,32.0,3.0,9.0
64.0,4.0,0.0,42.0,5.0,36.0
75.0,5.0,0.0,47.0,5.0,17.0
95.0,8.0,0.0,54.0,9.0,34.0
121.0,10.0,0.0,66.0,18.0,49.0
172.0,9.0,0.0,75.0,21.0,62.0
201.0,11.0,0.0,86.0,27.0,48.0
229.0,14.0,0.0,101.0,37.0,56.0
251.0,16.0,1.0,124.0,45.0,56.0
268.0,20.0,1.0,153.0,57.0,62.0
277.0,20.0,1.0,175.0,71.0,45.0
279.0,21.0,3.0,194.0,82.0,35.0
306.0,24.0,3.0,213.0,86.0,53.0
290.0,24.0,3.0,238.0,97.0,20.0
278.0,24.0,3.0,271.0,104.0,28.0
274.0,26.0,3.0,300.0,112.0,35.0
254.0,26.0,3.0,325.0,117.0,10.0
265.0,27.0,1.0,345.0,121.0,34.0
260.0,24.0,2.0,366.0,133.0,26.0
257.0,25.0,2.0,384.0,139.0,22.0
244.0,25.0,3.0,404.0,154.0,23.0
239.0,26.0,3.0,423.0,161.0,22.0
206.0,28.0,3.0,450.0,176.0,11.0
208.0,31.0,2.0,460.0,177.0,15.0
214.0,29.0,4.0,478.0,178.0,25.0
202.0,27.0,4.0,504.0,183.0,17.0
210.0,30.0,2.0,518.0,185.0,25.0
207.0,31.0,2.0,524.0,196.0,15.0
197.0,28.0,5.0,537.0,201.0,8.0
190.0,26.0,7.0,549.0,213.0,17.0
179.0,27.0,5.0,566.0,218.0,10.0
167.0,27.0,5.0,589.0,222.0,15.0
156.0,27.0,3.0,604.0,228.0,8.0
154.0,26.0,0.0,616.0,237.0,15.0
151.0,25.0,1.0,625.0,240.0,9.0
134.0,25.0,1.0,639.0,246.0,3.0
123.0,25.0,1.0,651.0,257.0,12.0
118.0,25.0,1.0,662.0,263.0,12.0
116.0,25.0,1.0,667.0,266.0,6.0
105.0,26.0,0.0,676.0,271.0,3.0
91.0,25.0,2.0,688.0,277.0,5.0
77.0,25.0,2.0,700.0,279.0,0.0
78.0,25.0,2.0,701.0,282.0,5.0
70.0,25.0,1.0,711.0,282.0,1.0
64.0,22.0,4.0,717.0,286.0,4.0
64.0,21.0,5.0,723.0,287.0,7.0
62.0,20.0,5.0,726.0,293.0,6.0
57.0,20.0,5.0,730.0,299.0,5.0
51.0,20.0,2.0,736.0,305.0,3.0
49.0,17.0,5.0,743.0,306.0,6.0
52.0,17.0,4.0,744.0,306.0,3.0
50.0,14.0,7.0,747.0,306.0,1.0
48.0,13.0,6.0,751.0,309.0,3.0
39.0,13.0,4.0,760.0,311.0,0.0
38.0,12.0,3.0,763.0,312.0,1.0
40.0,9.0,6.0,763.0,312.0,2.0
37.0,9.0,5.0,767.0,312.0,0.0
35.0,9.0,5.0,771.0,312.0,2.0
28.0,9.0,3.0,779.0,313.0,0.0
26.0,8.0,4.0,780.0,314.0,0.0
20.0,8.0,4.0,786.0,314.0,0.0
18.0,7.0,3.0,789.0,317.0,2.0
17.0,7.0,2.0,790.0,318.0,0.0
18.0,6.0,3.0,791.0,318.0,2.0
15.0,6.0,3.0,791.0,321.0,0.0
12.0,6.0,2.0,792.0,324.0,0.0
12.0,6.0,2.0,792.0,324.0,0.0
