0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,2.0
5.0,0.0,0.0,3.0,0.0,4.0
3.0,0.0,0.0,5.0,0.0,0.0
3.0,0.0,0.0,5.0,0.0,0.0
2.0,0.0,0.0,6.0,1.0,1.0
1.0,0.0,0.0,7.0,1.0,0.0
0.0,0.0,0.0,8.0,1.0,0.0
3.0,0.0,0.0,8.0,1.0,3.0
4.0,0.0,0.0,8.0,1.0,1.0
3.0,0.0,0.0,10.0,1.0,1.0
8.0,0.0,0.0,10.0,1.0,5.0
14.0,0.0,0.0,12.0,1.0,8.0
14.0,0.0,0.0,13.0,1.0,1.0
19.0,0.0,0.0,17.0,1.0,9.0
29.0,0.0,0.0,19.0,3.0,14.0
33.0,2.0,0.0,23.0,4.0,11.0
70.0,3.0,0.0,27.0,5.0,43.0
88.0,5.0,0.0,32.0,8.0,28.0
123.0,7.0,0.0,38.0,12.0,47.0
157.0,7.0,2.0,49.0,23.0,58.0
199.0,6.0,2.0,64.0,28.0,61.0
229.0,9.0,0.0,85.0,33.0,57.0
270.0,12.0,0.0,109.0,41.0,76.0
298.0,15.0,1.0,126.0,47.0,55.0
308.0,18.0,1.0,154.0,60.0,54.0
305.0,16.0,3.0,179.0,76.0,38.0
319.0,14.0,6.0,200.0,81.0,41.0
324.0,23.0,4.0,226.0,86.0,43.0
322.0,23.0,4.0,256.0,93.0,35.0
319.0,23.0,4.0,279.0,102.0,29.0
296.0,23.0,4.0,310.0,111.0,17.0
290.0,24.0,4.0,322.0,119.0,15.0
294.0,25.0,3.0,344.0,122.0,29.0
279.0,24.0,3.0,372.0,125.0,15.0
278.0,24.0,3.0,387.0,135.0,24.0
252.0,25.0,5.0,412.0,148.0,15.0
244.0,23.0,5.0,430.0,156.0,16.0
224.0,25.0,5.0,448.0,167.0,11.0
211.0,25.0,5.0,469.0,180.0,21.0
216.0,25.0,5.0,478.0,185.0,19.0
209.0,25.0,6.0,500.0,188.0,19.0
200.0,25.0,5.0,526.0,191.0,19.0
196.0,25.0,5.0,538.0,197.0,14.0
189.0,26.0,5.0,551.0,199.0,9.0
194.0,25.0,6.0,561.0,205.0,21.0
175.0,27.0,3.0,587.0,210.0,11.0
166.0,27.0,3.0,609.0,212.0,15.0
155.0,27.0,2.0,628.0,215.0,10.0
148.0,30.0,2.0,636.0,224.0,13.0
139.0,30.0,2.0,646.0,230.0,7.0
124.0,30.0,2.0,652.0,242.0,3.0
111.0,30.0,2.0,664.0,245.0,2.0
106.0,29.0,0.0,676.0,250.0,9.0
97.0,29.0,0.0,689.0,252.0,6.0
83.0,29.0,0.0,701.0,256.0,2.0
64.0,30.0,0.0,714.0,263.0,2.0
53.0,30.0,0.0,723.0,267.0,2.0
60.0,30.0,0.0,723.0,267.0,7.0
61.0,28.0,2.0,726.0,268.0,5.0
61.0,28.0,2.0,727.0,272.0,5.0
64.0,26.0,3.0,733.0,273.0,9.0
59.0,23.0,5.0,735.0,281.0,4.0
60.0,23.0,5.0,735.0,285.0,5.0
58.0,23.0,5.0,736.0,287.0,1.0
52.0,22.0,4.0,744.0,289.0,2.0
54.0,22.0,4.0,745.0,289.0,3.0
49.0,15.0,11.0,748.0,292.0,1.0
47.0,15.0,11.0,750.0,297.0,5.0
43.0,15.0,9.0,757.0,298.0,2.0
44.0,13.0,10.0,760.0,298.0,3.0
44.0,11.0,12.0,760.0,299.0,1.0
44.0,11.0,11.0,764.0,299.0,3.0
42.0,11.0,9.0,768.0,299.0,0.0
38.0,10.0,9.0,772.0,301.0,1.0
34.0,9.0,10.0,775.0,304.0,2.0
31.0,9.0,10.0,777.0,305.0,0.0
31.0,9.0,9.0,778.0,307.0,2.0
28.0,9.0,4.0,783.0,310.0,0.0
30.0,9.0,1.0,786.0,310.0,2.0
28.0,9.0,1.0,786.0,312.0,0.0
25.0,9.0,1.0,786.0,315.0,0.0
24.0,9.0,1.0,787.0,315.0,0.0
