0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,3.0
3.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,0.0,2.0,0.0,0.0
7.0,0.0,0.0,4.0,0.0,7.0
7.0,0.0,0.0,5.0,0.0,1.0
4.0,0.0,0.0,8.0,0.0,0.0
4.0,0.0,0.0,8.0,0.0,0.0
1.0,0.0,0.0,10.0,2.0,1.0
1.0,0.0,0.0,10.0,2.0,0.0
1.0,0.0,0.0,10.0,2.0,0.0
3.0,0.0,0.0,10.0,2.0,2.0
6.0,0.0,0.0,11.0,2.0,4.0
5.0,0.0,0.0,12.0,2.0,0.0
7.0,1.0,0.0,12.0,2.0,3.0
4.0,1.0,0.0,16.0,3.0,2.0
4.0,1.0,0.0,18.0,3.0,2.0
14.0,2.0,0.0,19.0,3.0,12.0
28.0,2.0,0.0,25.0,3.0,20.0
26.0,3.0,0.0,28.0,7.0,6.0
50.0,3.0,0.0,32.0,10.0,31.0
74.0,4.0,0.0,37.0,10.0,30.0
105.0,13.0,0.0,38.0,12.0,43.0
146.0,12.0,1.0,49.0,20.0,60.0
178.0,12.0,1.0,72.0,24.0,59.0
198.0,15.0,0.0,94.0,30.0,50.0
217.0,22.0,0.0,113.0,37.0,52.0
247.0,23.0,2.0,132.0,42.0,57.0
269.0,24.0,2.0,158.0,59.0,66.0
275.0,23.0,3.0,189.0,68.0,46.0
289.0,20.0,9.0,199.0,81.0,40.0
309.0,26.0,5.0,227.0,87.0,56.0
290.0,26.0,5.0,263.0,95.0,25.0
280.0,26.0,5.0,283.0,110.0,25.0
281.0,28.0,5.0,305.0,116.0,31.0
273.0,28.0,5.0,322.0,120.0,13.0
261.0,35.0,3.0,350.0,122.0,23.0
257.0,35.0,1.0,378.0,129.0,29.0
245.0,36.0,1.0,393.0,140.0,15.0
234.0,37.0,2.0,409.0,151.0,18.0
230.0,33.0,2.0,431.0,162.0,25.0
213.0,33.0,2.0,447.0,174.0,11.0
203.0,31.0,6.0,464.0,184.0,19.0
211.0,31.0,6.0,479.0,186.0,25.0
203.0,29.0,9.0,503.0,192.0,23.0
206.0,30.0,5.0,519.0,193.0,17.0
199.0,30.0,5.0,525.0,203.0,9.0
187.0,28.0,7.0,542.0,206.0,8.0
176.0,29.0,7.0,551.0,216.0,9.0
165.0,36.0,6.0,566.0,223.0,17.0
162.0,36.0,6.0,585.0,226.0,19.0
151.0,36.0,3.0,603.0,229.0,7.0
144.0,37.0,2.0,617.0,235.0,13.0
130.0,37.0,2.0,631.0,242.0,7.0
117.0,37.0,2.0,641.0,251.0,6.0
111.0,37.0,2.0,647.0,258.0,7.0
108.0,36.0,1.0,655.0,262.0,7.0
112.0,36.0,1.0,660.0,264.0,11.0
101.0,36.0,1.0,669.0,268.0,2.0
75.0,31.0,7.0,686.0,279.0,3.0
66.0,31.0,7.0,692.0,282.0,0.0
72.0,31.0,7.0,692.0,284.0,8.0
65.0,31.0,4.0,701.0,287.0,2.0
59.0,28.0,7.0,708.0,289.0,3.0
56.0,22.0,11.0,714.0,289.0,1.0
57.0,20.0,12.0,718.0,294.0,9.0
50.0,20.0,12.0,720.0,300.0,1.0
50.0,19.0,9.0,724.0,302.0,2.0
50.0,16.0,11.0,729.0,303.0,5.0
53.0,16.0,8.0,733.0,303.0,4.0
47.0,14.0,10.0,737.0,305.0,0.0
46.0,12.0,9.0,742.0,308.0,4.0
39.0,12.0,8.0,749.0,309.0,0.0
37.0,10.0,4.0,756.0,310.0,0.0
42.0,7.0,7.0,756.0,311.0,6.0
39.0,7.0,5.0,764.0,311.0,3.0
34.0,7.0,5.0,769.0,312.0,1.0
28.0,5.0,5.0,772.0,317.0,0.0
27.0,4.0,6.0,772.0,319.0,1.0
21.0,4.0,6.0,776.0,321.0,0.0
19.0,4.0,5.0,779.0,324.0,3.0
20.0,4.0,4.0,780.0,325.0,2.0
22.0,4.0,1.0,784.0,325.0,3.0
22.0,4.0,1.0,784.0,325.0,0.0
20.0,4.0,1.0,784.0,327.0,0.0
18.0,4.0,1.0,786.0,327.0,0.0
