0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,2.0
0.0,0.0,0.0,5.0,0.0,0.0
2.0,0.0,0.0,5.0,0.0,2.0
5.0,0.0,0.0,6.0,0.0,4.0
2.0,0.0,0.0,9.0,0.0,0.0
2.0,0.0,0.0,9.0,0.0,0.0
4.0,0.0,0.0,9.0,0.0,2.0
4.0,0.0,0.0,9.0,0.0,0.0
3.0,0.0,0.0,11.0,0.0,1.0
4.0,0.0,0.0,11.0,0.0,1.0
4.0,0.0,0.0,11.0,0.0,0.0
4.0,0.0,0.0,11.0,0.0,0.0
11.0,1.0,0.0,11.0,0.0,8.0
14.0,1.0,0.0,16.0,0.0,8.0
19.0,1.0,0.0,17.0,0.0,6.0
36.0,2.0,0.0,17.0,0.0,18.0
53.0,2.0,0.0,23.0,0.0,23.0
50.0,2.0,0.0,26.0,6.0,6.0
76.0,2.0,0.0,33.0,6.0,33.0
102.0,3.0,0.0,41.0,8.0,37.0
127.0,7.0,0.0,44.0,13.0,37.0
158.0,9.0,0.0,53.0,17.0,46.0
204.0,9.0,0.0,70.0,20.0,66.0
214.0,12.0,0.0,90.0,31.0,44.0
243.0,13.0,0.0,108.0,36.0,53.0
266.0,16.0,0.0,129.0,42.0,53.0
265.0,19.0,0.0,164.0,57.0,52.0
285.0,19.0,0.0,189.0,68.0,56.0
300.0,20.0,1.0,209.0,78.0,47.0
304.0,23.0,0.0,236.0,83.0,38.0
300.0,23.0,0.0,262.0,93.0,32.0
291.0,23.0,0.0,282.0,104.0,22.0
280.0,22.0,0.0,312.0,115.0,29.0
269.0,22.0,0.0,331.0,119.0,12.0
260.0,25.0,0.0,361.0,123.0,28.0
254.0,25.0,1.0,386.0,129.0,26.0
252.0,27.0,1.0,398.0,134.0,17.0
235.0,28.0,2.0,427.0,142.0,22.0
236.0,24.0,2.0,437.0,152.0,17.0
225.0,25.0,2.0,453.0,165.0,19.0
223.0,27.0,3.0,469.0,168.0,20.0
236.0,26.0,4.0,481.0,170.0,27.0
212.0,26.0,4.0,513.0,177.0,15.0
210.0,26.0,2.0,531.0,177.0,14.0
208.0,27.0,2.0,541.0,183.0,15.0
210.0,27.0,2.0,551.0,187.0,16.0
197.0,26.0,3.0,565.0,196.0,10.0
192.0,27.0,2.0,582.0,201.0,17.0
182.0,27.0,2.0,601.0,204.0,12.0
168.0,25.0,1.0,623.0,212.0,13.0
164.0,25.0,1.0,630.0,221.0,12.0
158.0,23.0,3.0,640.0,225.0,8.0
145.0,23.0,3.0,654.0,235.0,11.0
135.0,23.0,3.0,665.0,243.0,9.0
122.0,22.0,2.0,682.0,248.0,7.0
127.0,22.0,2.0,687.0,250.0,12.0
117.0,24.0,0.0,695.0,254.0,2.0
107.0,25.0,0.0,705.0,257.0,4.0
92.0,25.0,0.0,716.0,263.0,2.0
94.0,25.0,0.0,717.0,264.0,4.0
83.0,23.0,2.0,729.0,265.0,2.0
71.0,22.0,3.0,730.0,276.0,0.0
73.0,22.0,3.0,730.0,278.0,4.0
69.0,19.0,5.0,734.0,283.0,4.0
68.0,19.0,5.0,735.0,286.0,3.0
66.0,18.0,4.0,737.0,290.0,2.0
58.0,16.0,4.0,748.0,291.0,2.0
59.0,16.0,4.0,748.0,291.0,1.0
45.0,14.0,6.0,759.0,295.0,1.0
44.0,15.0,4.0,762.0,298.0,4.0
36.0,15.0,3.0,773.0,299.0,3.0
36.0,13.0,3.0,773.0,301.0,0.0
34.0,13.0,3.0,773.0,305.0,2.0
33.0,13.0,3.0,776.0,305.0,2.0
31.0,13.0,1.0,779.0,306.0,0.0
29.0,12.0,2.0,780.0,309.0,2.0
25.0,11.0,3.0,782.0,312.0,1.0
24.0,11.0,3.0,783.0,312.0,0.0
22.0,10.0,3.0,785.0,313.0,0.0
21.0,10.0,2.0,786.0,315.0,1.0
23.0,8.0,3.0,787.0,315.0,2.0
23.0,8.0,3.0,787.0,315.0,0.0
22.0,8.0,1.0,789.0,316.0,0.0
21.0,8.0,1.0,790.0,316.0,0.0
