0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,2.0
2.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,2.0
2.0,0.0,0.0,5.0,0.0,2.0
1.0,0.0,0.0,6.0,0.0,0.0
1.0,0.0,0.0,6.0,0.0,0.0
2.0,0.0,0.0,6.0,1.0,2.0
2.0,0.0,0.0,6.0,1.0,0.0
2.0,0.0,0.0,6.0,1.0,0.0
8.0,0.0,0.0,6.0,1.0,6.0
10.0,0.0,0.0,7.0,1.0,3.0
8.0,0.0,0.0,10.0,1.0,1.0
9.0,1.0,0.0,10.0,1.0,2.0
12.0,1.0,0.0,13.0,3.0,8.0
13.0,1.0,0.0,14.0,3.0,2.0
20.0,1.0,0.0,17.0,3.0,10.0
31.0,1.0,0.0,24.0,6.0,21.0
36.0,1.0,0.0,24.0,10.0,9.0
56.0,1.0,0.0,29.0,11.0,26.0
73.0,3.0,0.0,35.0,11.0,25.0
104.0,8.0,0.0,38.0,13.0,41.0
137.0,11.0,0.0,49.0,23.0,57.0
176.0,11.0,0.0,69.0,27.0,63.0
203.0,16.0,0.0,80.0,34.0,50.0
218.0,19.0,0.0,94.0,38.0,36.0
250.0,18.0,2.0,106.0,43.0,50.0
279.0,18.0,2.0,130.0,55.0,65.0
280.0,16.0,4.0,164.0,65.0,45.0
285.0,18.0,4.0,182.0,75.0,35.0
301.0,20.0,4.0,204.0,83.0,48.0
289.0,20.0,4.0,230.0,95.0,26.0
297.0,20.0,4.0,254.0,103.0,40.0
287.0,18.0,4.0,279.0,116.0,26.0
282.0,18.0,4.0,297.0,118.0,15.0
285.0,19.0,4.0,313.0,128.0,30.0
278.0,18.0,2.0,339.0,135.0,23.0
274.0,18.0,2.0,356.0,144.0,22.0
266.0,17.0,4.0,377.0,153.0,23.0
262.0,17.0,4.0,396.0,163.0,25.0
246.0,17.0,4.0,412.0,179.0,16.0
242.0,20.0,4.0,426.0,184.0,18.0
251.0,20.0,4.0,435.0,189.0,23.0
243.0,23.0,4.0,458.0,197.0,26.0
248.0,24.0,2.0,476.0,197.0,22.0
241.0,25.0,2.0,482.0,211.0,14.0
223.0,29.0,2.0,499.0,217.0,9.0
213.0,29.0,3.0,507.0,230.0,12.0
201.0,31.0,0.0,530.0,234.0,14.0
187.0,31.0,0.0,556.0,237.0,15.0
161.0,35.0,0.0,576.0,246.0,7.0
153.0,34.0,1.0,589.0,257.0,16.0
150.0,32.0,3.0,604.0,258.0,13.0
141.0,32.0,3.0,612.0,262.0,3.0
134.0,32.0,3.0,622.0,265.0,6.0
120.0,29.0,3.0,637.0,276.0,9.0
121.0,29.0,3.0,642.0,279.0,9.0
104.0,31.0,1.0,656.0,283.0,1.0
89.0,28.0,5.0,672.0,286.0,5.0
75.0,28.0,5.0,683.0,291.0,2.0
78.0,28.0,5.0,684.0,293.0,6.0
72.0,28.0,4.0,691.0,295.0,2.0
63.0,28.0,4.0,696.0,303.0,4.0
65.0,26.0,4.0,703.0,306.0,10.0
65.0,26.0,4.0,706.0,309.0,6.0
64.0,26.0,4.0,706.0,314.0,4.0
62.0,26.0,4.0,708.0,316.0,2.0
58.0,24.0,6.0,716.0,316.0,4.0
61.0,24.0,3.0,719.0,316.0,3.0
55.0,22.0,5.0,724.0,317.0,0.0
50.0,21.0,4.0,729.0,321.0,2.0
43.0,21.0,3.0,739.0,321.0,2.0
42.0,16.0,7.0,741.0,321.0,0.0
44.0,14.0,9.0,741.0,322.0,3.0
43.0,14.0,9.0,743.0,322.0,1.0
38.0,14.0,9.0,747.0,323.0,0.0
29.0,13.0,9.0,755.0,326.0,1.0
28.0,12.0,10.0,757.0,327.0,2.0
21.0,12.0,10.0,764.0,327.0,0.0
21.0,11.0,9.0,765.0,329.0,1.0
18.0,11.0,8.0,766.0,332.0,0.0
19.0,9.0,4.0,772.0,332.0,1.0
18.0,9.0,4.0,772.0,333.0,0.0
18.0,9.0,2.0,774.0,333.0,0.0
18.0,9.0,2.0,774.0,333.0,0.0
