0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,3.0,0.0,1.0
3.0,0.0,0.0,5.0,0.0,4.0
1.0,0.0,0.0,7.0,0.0,0.0
1.0,0.0,0.0,7.0,0.0,0.0
4.0,0.0,0.0,7.0,0.0,3.0
4.0,0.0,0.0,7.0,0.0,0.0
6.0,0.0,0.0,8.0,0.0,3.0
9.0,0.0,0.0,8.0,0.0,3.0
13.0,0.0,0.0,10.0,0.0,6.0
12.0,0.0,0.0,11.0,0.0,0.0
20.0,1.0,0.0,11.0,0.0,9.0
23.0,1.0,0.0,17.0,2.0,11.0
28.0,1.0,0.0,19.0,2.0,7.0
37.0,4.0,0.0,24.0,2.0,17.0
38.0,4.0,0.0,35.0,4.0,14.0
36.0,5.0,0.0,44.0,6.0,10.0
59.0,6.0,0.0,48.0,7.0,29.0
79.0,6.0,0.0,53.0,7.0,25.0
116.0,11.0,0.0,58.0,10.0,50.0
140.0,11.0,1.0,65.0,20.0,42.0
177.0,10.0,1.0,84.0,25.0,60.0
206.0,12.0,0.0,99.0,29.0,49.0
244.0,18.0,0.0,112.0,37.0,65.0
269.0,21.0,1.0,128.0,44.0,52.0
273.0,26.0,1.0,167.0,56.0,60.0
286.0,24.0,3.0,194.0,68.0,52.0
301.0,23.0,5.0,205.0,78.0,37.0
316.0,25.0,5.0,236.0,85.0,55.0
306.0,25.0,5.0,266.0,91.0,26.0
292.0,25.0,5.0,298.0,99.0,26.0
286.0,26.0,5.0,320.0,106.0,24.0
284.0,28.0,5.0,337.0,107.0,18.0
281.0,31.0,3.0,365.0,110.0,29.0
270.0,28.0,5.0,391.0,124.0,28.0
264.0,29.0,5.0,407.0,132.0,19.0
245.0,30.0,5.0,434.0,146.0,23.0
248.0,31.0,5.0,447.0,151.0,22.0
224.0,31.0,5.0,468.0,161.0,7.0
214.0,30.0,3.0,487.0,165.0,10.0
224.0,28.0,5.0,499.0,167.0,24.0
207.0,27.0,5.0,528.0,172.0,16.0
205.0,29.0,4.0,544.0,176.0,19.0
205.0,30.0,4.0,551.0,182.0,14.0
187.0,31.0,4.0,569.0,187.0,6.0
184.0,30.0,5.0,575.0,194.0,10.0
178.0,31.0,2.0,592.0,200.0,15.0
175.0,31.0,2.0,616.0,203.0,24.0
161.0,32.0,0.0,634.0,206.0,6.0
144.0,30.0,0.0,645.0,217.0,3.0
134.0,29.0,1.0,663.0,220.0,11.0
126.0,29.0,1.0,668.0,227.0,4.0
116.0,29.0,1.0,678.0,235.0,8.0
117.0,28.0,1.0,687.0,236.0,10.0
119.0,28.0,1.0,694.0,240.0,13.0
106.0,29.0,0.0,705.0,244.0,2.0
97.0,24.0,6.0,713.0,245.0,1.0
79.0,24.0,6.0,728.0,251.0,3.0
80.0,24.0,6.0,728.0,253.0,3.0
75.0,23.0,5.0,736.0,260.0,8.0
68.0,22.0,6.0,740.0,265.0,2.0
68.0,22.0,6.0,742.0,268.0,5.0
66.0,21.0,7.0,745.0,273.0,6.0
61.0,21.0,7.0,745.0,280.0,2.0
54.0,18.0,6.0,748.0,288.0,0.0
55.0,17.0,6.0,750.0,288.0,2.0
58.0,17.0,2.0,755.0,288.0,4.0
46.0,15.0,4.0,759.0,297.0,1.0
45.0,14.0,5.0,762.0,298.0,3.0
38.0,14.0,5.0,768.0,299.0,0.0
38.0,13.0,5.0,769.0,300.0,1.0
37.0,12.0,6.0,769.0,302.0,1.0
40.0,12.0,5.0,771.0,302.0,4.0
35.0,12.0,4.0,776.0,304.0,1.0
31.0,11.0,3.0,780.0,306.0,0.0
27.0,10.0,4.0,782.0,308.0,0.0
21.0,10.0,4.0,788.0,308.0,0.0
20.0,9.0,4.0,789.0,309.0,0.0
17.0,9.0,2.0,791.0,314.0,2.0
20.0,8.0,2.0,792.0,314.0,3.0
18.0,8.0,2.0,792.0,316.0,0.0
15.0,8.0,1.0,793.0,319.0,0.0
13.0,8.0,1.0,795.0,319.0,0.0
