0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,2.0
2.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
2.0,0.0,0.0,4.0,0.0,2.0
3.0,0.0,0.0,5.0,0.0,2.0
2.0,0.0,0.0,6.0,0.0,0.0
2.0,0.0,0.0,6.0,0.0,0.0
3.0,0.0,0.0,7.0,1.0,3.0
3.0,0.0,0.0,7.0,1.0,0.0
5.0,0.0,0.0,7.0,1.0,2.0
6.0,0.0,0.0,7.0,1.0,1.0
6.0,0.0,0.0,9.0,1.0,2.0
5.0,0.0,0.0,11.0,1.0,1.0
9.0,1.0,0.0,11.0,1.0,5.0
14.0,1.0,0.0,13.0,1.0,7.0
20.0,1.0,0.0,14.0,1.0,7.0
24.0,1.0,0.0,17.0,1.0,7.0
39.0,1.0,0.0,24.0,1.0,22.0
44.0,1.0,0.0,25.0,4.0,9.0
66.0,4.0,0.0,29.0,4.0,29.0
84.0,5.0,0.0,35.0,6.0,27.0
119.0,7.0,0.0,38.0,9.0,43.0
152.0,7.0,0.0,47.0,15.0,48.0
186.0,4.0,0.0,68.0,22.0,59.0
204.0,10.0,0.0,82.0,26.0,42.0
233.0,14.0,0.0,91.0,32.0,48.0
245.0,19.0,1.0,116.0,38.0,49.0
260.0,23.0,1.0,144.0,49.0,58.0
271.0,20.0,4.0,175.0,59.0,52.0
280.0,18.0,6.0,193.0,70.0,38.0
306.0,19.0,5.0,219.0,74.0,56.0
299.0,19.0,5.0,244.0,88.0,32.0
287.0,19.0,5.0,274.0,98.0,28.0
269.0,22.0,5.0,301.0,107.0,21.0
273.0,23.0,5.0,314.0,108.0,19.0
278.0,27.0,4.0,342.0,110.0,38.0
277.0,24.0,4.0,366.0,122.0,32.0
270.0,26.0,4.0,380.0,135.0,22.0
247.0,31.0,5.0,413.0,144.0,25.0
229.0,30.0,5.0,437.0,157.0,18.0
220.0,31.0,5.0,451.0,168.0,17.0
209.0,28.0,6.0,472.0,176.0,16.0
212.0,27.0,7.0,485.0,178.0,18.0
196.0,26.0,7.0,514.0,184.0,18.0
196.0,25.0,6.0,527.0,185.0,12.0
198.0,26.0,6.0,533.0,193.0,17.0
179.0,26.0,6.0,547.0,201.0,3.0
173.0,25.0,7.0,556.0,211.0,13.0
166.0,28.0,3.0,576.0,217.0,18.0
159.0,28.0,3.0,599.0,220.0,19.0
138.0,27.0,2.0,618.0,229.0,5.0
132.0,32.0,2.0,631.0,233.0,16.0
130.0,31.0,3.0,641.0,234.0,9.0
122.0,31.0,3.0,652.0,240.0,9.0
119.0,31.0,3.0,656.0,249.0,10.0
110.0,31.0,1.0,672.0,253.0,9.0
111.0,31.0,1.0,678.0,256.0,10.0
95.0,32.0,0.0,690.0,261.0,1.0
79.0,34.0,0.0,706.0,263.0,4.0
66.0,34.0,0.0,717.0,266.0,1.0
72.0,34.0,0.0,718.0,267.0,8.0
65.0,32.0,2.0,724.0,269.0,1.0
54.0,32.0,2.0,730.0,277.0,3.0
54.0,29.0,4.0,734.0,278.0,4.0
57.0,27.0,5.0,736.0,282.0,8.0
54.0,27.0,5.0,739.0,285.0,3.0
52.0,27.0,5.0,740.0,287.0,1.0
54.0,27.0,4.0,743.0,288.0,5.0
57.0,27.0,4.0,743.0,288.0,3.0
47.0,27.0,4.0,749.0,292.0,0.0
45.0,24.0,7.0,751.0,294.0,2.0
39.0,24.0,7.0,757.0,294.0,0.0
38.0,19.0,8.0,763.0,296.0,3.0
40.0,13.0,14.0,763.0,296.0,2.0
38.0,13.0,14.0,766.0,296.0,1.0
34.0,13.0,12.0,772.0,296.0,0.0
30.0,12.0,10.0,779.0,297.0,1.0
33.0,10.0,12.0,780.0,297.0,4.0
28.0,10.0,12.0,785.0,297.0,0.0
28.0,9.0,7.0,790.0,298.0,0.0
26.0,9.0,7.0,790.0,301.0,1.0
28.0,8.0,4.0,795.0,301.0,3.0
24.0,8.0,4.0,795.0,305.0,0.0
23.0,8.0,3.0,796.0,306.0,0.0
22.0,8.0,3.0,797.0,306.0,0.0
