0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,5.0
5.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,0.0
2.0,0.0,0.0,6.0,0.0,2.0
4.0,0.0,0.0,8.0,0.0,4.0
1.0,0.0,0.0,11.0,0.0,0.0
1.0,0.0,0.0,11.0,0.0,0.0
6.0,0.0,0.0,12.0,0.0,6.0
4.0,0.0,0.0,14.0,0.0,0.0
4.0,0.0,0.0,14.0,0.0,0.0
7.0,0.0,0.0,14.0,0.0,3.0
9.0,0.0,0.0,15.0,0.0,3.0
8.0,0.0,0.0,19.0,0.0,3.0
16.0,0.0,0.0,19.0,0.0,8.0
21.0,0.0,0.0,24.0,1.0,11.0
20.0,0.0,0.0,28.0,1.0,3.0
30.0,0.0,0.0,30.0,1.0,12.0
38.0,0.0,0.0,38.0,2.0,17.0
42.0,0.0,0.0,39.0,4.0,7.0
63.0,1.0,0.0,46.0,4.0,29.0
70.0,2.0,0.0,51.0,10.0,19.0
102.0,3.0,0.0,57.0,10.0,39.0
142.0,5.0,0.0,65.0,17.0,57.0
175.0,4.0,0.0,85.0,21.0,56.0
198.0,10.0,0.0,96.0,29.0,48.0
229.0,14.0,0.0,110.0,33.0,53.0
259.0,16.0,0.0,133.0,38.0,60.0
282.0,23.0,0.0,158.0,46.0,63.0
291.0,22.0,1.0,192.0,55.0,52.0
287.0,24.0,1.0,214.0,65.0,30.0
304.0,29.0,1.0,236.0,70.0,49.0
291.0,29.0,1.0,271.0,77.0,29.0
286.0,29.0,1.0,297.0,88.0,32.0
274.0,31.0,1.0,326.0,98.0,29.0
262.0,33.0,1.0,345.0,103.0,14.0
266.0,36.0,1.0,367.0,109.0,35.0
255.0,29.0,3.0,391.0,119.0,18.0
256.0,29.0,3.0,404.0,126.0,21.0
247.0,29.0,4.0,424.0,140.0,26.0
231.0,34.0,4.0,439.0,151.0,15.0
211.0,37.0,4.0,455.0,164.0,12.0
201.0,35.0,4.0,478.0,173.0,20.0
213.0,34.0,5.0,487.0,175.0,23.0
202.0,35.0,5.0,511.0,180.0,19.0
208.0,33.0,6.0,526.0,180.0,20.0
204.0,34.0,6.0,533.0,188.0,12.0
192.0,33.0,8.0,548.0,193.0,9.0
187.0,36.0,8.0,555.0,200.0,12.0
164.0,39.0,7.0,586.0,203.0,13.0
149.0,39.0,7.0,605.0,211.0,12.0
135.0,40.0,6.0,618.0,219.0,7.0
131.0,40.0,7.0,629.0,227.0,16.0
129.0,40.0,7.0,640.0,228.0,10.0
120.0,40.0,7.0,651.0,234.0,8.0
106.0,40.0,7.0,660.0,243.0,4.0
99.0,38.0,3.0,676.0,248.0,8.0
102.0,38.0,3.0,680.0,248.0,7.0
94.0,38.0,3.0,688.0,249.0,1.0
72.0,35.0,6.0,702.0,259.0,2.0
65.0,35.0,6.0,709.0,259.0,0.0
70.0,35.0,6.0,709.0,261.0,7.0
63.0,34.0,5.0,717.0,265.0,3.0
62.0,33.0,6.0,718.0,271.0,6.0
61.0,31.0,5.0,726.0,273.0,6.0
61.0,27.0,6.0,728.0,278.0,4.0
64.0,27.0,6.0,729.0,280.0,6.0
64.0,27.0,5.0,731.0,282.0,3.0
61.0,25.0,6.0,736.0,283.0,2.0
62.0,25.0,5.0,737.0,283.0,1.0
57.0,20.0,10.0,741.0,285.0,1.0
50.0,19.0,10.0,747.0,288.0,1.0
45.0,19.0,7.0,755.0,289.0,1.0
48.0,17.0,7.0,758.0,289.0,4.0
52.0,11.0,13.0,758.0,289.0,4.0
54.0,11.0,11.0,766.0,289.0,8.0
48.0,11.0,10.0,769.0,293.0,0.0
43.0,10.0,9.0,776.0,293.0,0.0
41.0,10.0,9.0,778.0,294.0,1.0
33.0,10.0,9.0,783.0,297.0,0.0
32.0,9.0,9.0,784.0,300.0,2.0
29.0,9.0,7.0,786.0,303.0,0.0
30.0,9.0,4.0,790.0,303.0,2.0
24.0,9.0,4.0,790.0,309.0,0.0
22.0,9.0,4.0,790.0,311.0,0.0
22.0,9.0,4.0,790.0,311.0,0.0
