0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,1.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,0.0,0.0
3.0,0.0,0.0,3.0,0.0,3.0
4.0,0.0,0.0,5.0,0.0,3.0
0.0,0.0,0.0,9.0,0.0,0.0
0.0,0.0,0.0,9.0,0.0,0.0
3.0,0.0,0.0,9.0,0.0,3.0
3.0,0.0,0.0,9.0,0.0,0.0
3.0,0.0,0.0,9.0,0.0,0.0
7.0,0.0,0.0,9.0,0.0,4.0
9.0,0.0,0.0,10.0,0.0,3.0
6.0,0.0,0.0,13.0,0.0,0.0
12.0,1.0,0.0,13.0,0.0,7.0
15.0,1.0,0.0,18.0,1.0,9.0
21.0,1.0,0.0,20.0,1.0,8.0
24.0,2.0,0.0,24.0,1.0,8.0
31.0,2.0,0.0,30.0,2.0,14.0
38.0,3.0,0.0,31.0,4.0,11.0
56.0,4.0,0.0,35.0,4.0,23.0
69.0,6.0,0.0,39.0,5.0,20.0
93.0,7.0,0.0,43.0,7.0,31.0
124.0,7.0,1.0,51.0,12.0,45.0
170.0,6.0,1.0,65.0,18.0,65.0
187.0,10.0,0.0,75.0,24.0,36.0
233.0,11.0,0.0,94.0,28.0,70.0
257.0,12.0,1.0,114.0,34.0,52.0
276.0,18.0,1.0,137.0,51.0,65.0
272.0,18.0,1.0,162.0,62.0,32.0
294.0,20.0,2.0,177.0,71.0,49.0
313.0,21.0,2.0,201.0,76.0,49.0
308.0,21.0,2.0,232.0,84.0,34.0
301.0,21.0,2.0,261.0,95.0,33.0
284.0,22.0,2.0,301.0,108.0,37.0
278.0,24.0,2.0,319.0,114.0,20.0
274.0,24.0,1.0,348.0,120.0,30.0
248.0,25.0,4.0,380.0,133.0,23.0
253.0,26.0,4.0,390.0,140.0,23.0
238.0,25.0,6.0,416.0,147.0,19.0
224.0,27.0,6.0,441.0,151.0,17.0
218.0,27.0,6.0,453.0,166.0,21.0
201.0,30.0,2.0,482.0,170.0,15.0
212.0,29.0,3.0,489.0,176.0,24.0
204.0,28.0,3.0,515.0,178.0,19.0
194.0,27.0,2.0,537.0,183.0,15.0
198.0,29.0,2.0,542.0,192.0,20.0
189.0,30.0,3.0,553.0,195.0,7.0
178.0,31.0,3.0,572.0,200.0,14.0
165.0,38.0,3.0,587.0,208.0,17.0
160.0,38.0,3.0,600.0,213.0,13.0
143.0,37.0,2.0,615.0,223.0,6.0
138.0,39.0,2.0,629.0,227.0,15.0
136.0,36.0,5.0,642.0,229.0,13.0
120.0,36.0,5.0,653.0,239.0,5.0
120.0,36.0,5.0,658.0,244.0,10.0
110.0,36.0,4.0,670.0,248.0,5.0
106.0,36.0,4.0,678.0,248.0,4.0
93.0,39.0,1.0,688.0,253.0,2.0
77.0,38.0,2.0,703.0,257.0,3.0
70.0,38.0,2.0,710.0,259.0,2.0
77.0,38.0,2.0,711.0,260.0,9.0
73.0,37.0,3.0,712.0,263.0,0.0
58.0,37.0,3.0,721.0,269.0,0.0
58.0,34.0,5.0,728.0,269.0,6.0
50.0,32.0,5.0,735.0,277.0,5.0
47.0,32.0,5.0,735.0,281.0,1.0
46.0,31.0,5.0,738.0,283.0,3.0
48.0,28.0,8.0,742.0,283.0,6.0
51.0,28.0,7.0,743.0,283.0,3.0
50.0,27.0,8.0,746.0,284.0,3.0
49.0,27.0,8.0,751.0,284.0,4.0
40.0,27.0,7.0,758.0,287.0,0.0
39.0,26.0,4.0,768.0,288.0,6.0
41.0,25.0,5.0,768.0,288.0,2.0
40.0,25.0,5.0,770.0,288.0,1.0
38.0,25.0,4.0,774.0,289.0,2.0
31.0,21.0,5.0,782.0,291.0,0.0
30.0,21.0,5.0,782.0,293.0,1.0
26.0,21.0,5.0,785.0,294.0,0.0
23.0,19.0,4.0,789.0,296.0,0.0
19.0,19.0,4.0,789.0,300.0,0.0
23.0,16.0,3.0,794.0,300.0,5.0
20.0,16.0,3.0,794.0,303.0,0.0
20.0,16.0,0.0,797.0,303.0,0.0
17.0,16.0,0.0,800.0,303.0,0.0
