0,1,2,3,4,5
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,2.0
5.0,0.0,0.0,3.0,0.0,4.0
3.0,0.0,0.0,5.0,0.0,0.0
3.0,0.0,0.0,5.0,0.0,0.0
9.0,0.0,0.0,5.0,1.0,7.0
9.0,0.0,0.0,5.0,1.0,0.0
12.0,0.0,0.0,7.0,1.0,5.0
15.0,0.0,0.0,7.0,1.0,3.0
18.0,0.0,0.0,7.0,1.0,3.0
16.0,0.0,0.0,10.0,1.0,1.0
21.0,1.0,0.0,10.0,1.0,6.0
25.0,1.0,0.0,16.0,1.0,10.0
27.0,1.0,0.0,20.0,1.0,6.0
33.0,1.0,0.0,24.0,1.0,10.0
35.0,1.0,0.0,41.0,3.0,21.0
40.0,2.0,0.0,42.0,4.0,8.0
63.0,3.0,0.0,46.0,5.0,29.0
82.0,5.0,0.0,54.0,7.0,31.0
104.0,10.0,0.0,58.0,9.0,33.0
134.0,9.0,1.0,64.0,14.0,41.0
163.0,8.0,1.0,90.0,18.0,58.0
184.0,10.0,0.0,101.0,24.0,39.0
233.0,12.0,0.0,115.0,29.0,70.0
269.0,13.0,0.0,133.0,30.0,56.0
280.0,18.0,0.0,167.0,43.0,63.0
287.0,18.0,0.0,189.0,52.0,38.0
304.0,18.0,0.0,210.0,55.0,41.0
312.0,18.0,0.0,242.0,60.0,45.0
304.0,18.0,0.0,269.0,67.0,26.0
286.0,18.0,0.0,299.0,74.0,19.0
281.0,19.0,0.0,326.0,76.0,25.0
288.0,20.0,0.0,340.0,80.0,26.0
278.0,24.0,0.0,370.0,86.0,30.0
273.0,22.0,2.0,395.0,93.0,27.0
260.0,22.0,2.0,410.0,108.0,17.0
260.0,21.0,4.0,435.0,112.0,30.0
261.0,22.0,4.0,452.0,118.0,25.0
244.0,24.0,4.0,472.0,128.0,15.0
241.0,22.0,3.0,485.0,137.0,16.0
237.0,20.0,5.0,498.0,145.0,17.0
227.0,18.0,5.0,527.0,151.0,23.0
223.0,20.0,3.0,546.0,154.0,18.0
221.0,21.0,3.0,552.0,165.0,16.0
212.0,22.0,3.0,567.0,170.0,12.0
207.0,23.0,4.0,580.0,178.0,18.0
197.0,26.0,3.0,600.0,186.0,20.0
179.0,26.0,3.0,625.0,192.0,13.0
150.0,26.0,1.0,651.0,201.0,4.0
133.0,25.0,3.0,667.0,209.0,8.0
126.0,25.0,3.0,677.0,215.0,9.0
120.0,25.0,3.0,681.0,226.0,9.0
114.0,25.0,3.0,691.0,235.0,13.0
112.0,25.0,2.0,698.0,237.0,6.0
115.0,25.0,2.0,703.0,239.0,10.0
100.0,25.0,2.0,719.0,240.0,2.0
83.0,26.0,4.0,734.0,245.0,6.0
73.0,26.0,4.0,743.0,246.0,0.0
74.0,26.0,4.0,745.0,247.0,4.0
69.0,25.0,5.0,751.0,249.0,3.0
61.0,25.0,5.0,757.0,254.0,3.0
60.0,23.0,5.0,762.0,256.0,4.0
56.0,21.0,6.0,767.0,260.0,4.0
48.0,21.0,6.0,772.0,265.0,2.0
45.0,21.0,6.0,774.0,268.0,2.0
47.0,21.0,5.0,778.0,268.0,5.0
50.0,21.0,3.0,782.0,268.0,5.0
43.0,21.0,3.0,789.0,269.0,1.0
35.0,21.0,4.0,794.0,272.0,1.0
33.0,21.0,4.0,796.0,272.0,0.0
31.0,21.0,2.0,801.0,272.0,1.0
33.0,16.0,7.0,801.0,273.0,3.0
31.0,16.0,5.0,806.0,273.0,1.0
27.0,16.0,4.0,811.0,274.0,1.0
24.0,15.0,4.0,815.0,275.0,1.0
21.0,12.0,7.0,818.0,276.0,1.0
18.0,12.0,7.0,821.0,276.0,0.0
16.0,11.0,7.0,823.0,277.0,0.0
12.0,11.0,7.0,823.0,282.0,1.0
13.0,11.0,6.0,824.0,282.0,1.0
13.0,11.0,6.0,824.0,282.0,0.0
12.0,11.0,6.0,824.0,283.0,0.0
12.0,11.0,6.0,824.0,283.0,0.0
