0,1,2,3,4,5,6
-11.1823730673647,-2.502705488520406,-3.677387032375976,-3.3990209665286466,-4.0122162233624845,-12.24921105386262,-1.9429018938508358
-10.107233216101978,-2.526743178468291,-3.781202016534872,-3.7217797781834903,-4.366227372620926,-10.608272893274522,-2.0079731003031878
-9.078464939910159,-2.489330706183471,-3.7251213502498723,-3.563086617687234,-4.202239049710229,-12.032599418580508,-1.9605450130867816
-11.008401338034695,-2.4941446036263217,-3.920068575498761,-3.6459594859081976,-4.50591408906512,-5.721619845500614,-2.1353823267722327
-9.51584594515903,-2.4795204891669096,-3.7423582722310202,-3.4481821806241704,-4.3294208467676105,-6.238828566529192,-2.0559423508713195
-10.964847696788425,-2.584838128575659,-3.7762262730830765,-3.5567324482334053,-3.8117240965441153,-2.845928783070587,-2.0985664741075323
-10.445980178029913,-2.5013661302908994,-3.6887978825715177,-3.3956371076934153,-4.085583767896875,-17.87562093099038,-1.7884830894849988
-8.749701868973844,-2.479125121186841,-3.718353753858886,-3.407518389484149,-4.996834318784776,-8.257741175573667,-1.9330188440320009
-9.637152384566857,-2.4590534058736813,-3.850089786517439,-3.528841500313903,-4.538492299438276,-9.577526411317494,-1.9209653202302237
-8.998416307960778,-2.470576724957515,-3.8139837055423262,-3.4489260966123783,-4.591139661128495,-8.362562686311373,-2.1171046294752927
-10.77657253699704,-2.502661545016412,-3.7209621252074943,-3.461713844321536,-4.119134025157511,-17.145708583521866,-1.843794857997135
-10.236253684312237,-2.5946866507426667,-3.739094481763775,-3.9062467936860026,-4.61436275184967,-6.8968293872498245,-2.0269680530430954
-10.91650680628441,-2.5552770966352605,-3.920548577776225,-3.632174705486247,-4.556423221573024,-9.951176476527301,-1.938110544171828
-9.016598513178804,-2.4706622026124947,-3.7733897120788886,-3.4434540813864096,-4.118286868101613,-4.630960413685104,-1.7272738864171095
-11.10518902341737,-2.495523843229261,-3.768599700351806,-3.684710372789051,-4.574959229296841,-15.231359975101643,-1.9340888315917883
-11.09864136204695,-2.505437828579431,-3.6460617211561046,-3.3114633653020658,-4.250778799050057,-7.435788453763882,-1.964020122901709
-9.367841930803923,-2.5303330555995434,-3.836694009879447,-3.3798422092010583,-4.805900543611976,-10.20439362384298,-1.8150331367423038
-8.62509700257619,-2.4687632768605434,-3.6180039941361475,-3.27724930597849,-4.441792206286502,-8.590015227841416,-2.084080669034612
-9.921533321750307,-2.493906018095849,-3.665993232051875,-3.3437103718364325,-4.410759291045401,-15.497185468791537,-1.9689485988147686
-11.14340596647552,-2.4295557925971103,-3.9161455279346,-3.7662157382129,-4.065535663954649,-8.205684134636144,-1.9145019511490016
-11.27062212346134,-2.4370662276140473,-3.6417180057735212,-3.5618272939387907,-4.160408416821657,-7.783426270062839,-1.7897410246206475
-8.885742236197697,-2.50309611203126,-3.9115455934551284,-3.4690454399365294,-4.313719752857617,-9.013966579687873,-2.028668104452285
-10.250876717761491,-2.549284711347875,-3.756166982006848,-3.5935382665037565,-4.165651089265024,-9.775429591493754,-1.7292080601039546
-8.925519371611303,-2.484581975515164,-3.8830093105024783,-3.630481451528752,-4.4392462131653705,-8.929281065592743,-2.0413681766457525
-9.574716250862554,-2.4817267413188002,-3.7758811801071586,-3.0603529449078914,-4.187919372909868,-9.969840776675415,-1.9418154969343577
-10.695450454241959,-2.479328309646258,-3.8170593516275453,-3.798343075568839,-4.10812059167907,-13.31117804433098,-1.927717635605957
-10.34266801090455,-2.4721252968417318,-3.7822066099570746,-3.5242407270200196,-4.445063842184574,-6.296381372188705,-1.9820392683680534
-8.237217501798696,-2.548888907295276,-3.7736361972264287,-3.4239573334196116,-4.716679155661801,-5.785652430242713,-1.9848276983391402
-9.16529758109477,-2.514102565642701,-3.7093361874668083,-3.402651743093238,-4.297999897013347,-11.815480489323988,-2.01775478789079
-9.72579834316251,-2.5356659810067255,-3.8038849154816043,-3.6016168996697346,-4.2299577773826,-9.111733702816348,-1.9047769641317513
