b,deviance,mean.lambda,mean.t.pred
0.7797703919579815,9938.16099398767,-0.40601584277921987,1.9919863965597906
0.7678652852885982,9936.694783233448,-0.39981701557624005,1.941477016181061
0.7910724915389733,9942.207692474489,-0.4824798155668102,2.1183978759970334
0.7592340827314193,9939.980282789951,-0.41053827946340615,2.0021217955986885
0.7709667653382257,9930.701172162639,-0.42806650813726027,1.9921769691535383
0.7787436640947337,9930.651846463285,-0.43990234565937986,2.0927781765703597
0.7760236540023617,9933.895678628267,-0.4334166366503191,2.157288360606605
0.7801143533445567,9934.454503244691,-0.4704328921213525,2.14535276674045
0.76868522773182,9935.752748332048,-0.46354077868521154,2.148472723530966
0.7725350318016174,9932.47784257372,-0.43123172227901246,2.07237524153579
0.7738097345701485,9932.461686839502,-0.4319432657658938,2.0721284519893293
0.7912192136999758,9942.820414162523,-0.42868940787090165,1.997660089409606
0.7732611073564337,9930.475893101971,-0.4135277783129378,2.022620130215314
0.7756913205447845,9931.24699624936,-0.40277509283174656,1.9989788608746832
0.7444179193232187,9942.545834605015,-0.40325888078342376,2.134931125365646
0.7702464062262602,9934.141728948634,-0.4172504390875549,2.0763199708753293
0.7647815871283958,9945.748911998686,-0.43786062603657583,2.0710136425580603
0.7719983931447254,9932.841699623597,-0.4162132737168665,1.954087346551545
0.7647704830303989,9932.847728286411,-0.4289836582757298,1.9520866085086814
0.7706026935666592,9931.9866417211,-0.4322551273859959,2.057280882070431
0.7831078249070044,9934.117761317739,-0.4501457604389156,2.1056874427703587
0.7743494066484066,9933.10318718826,-0.44367165867626773,2.1363869754033042
0.7758771249818049,9936.18059772227,-0.4256406529224304,2.1469371264772343
0.7712720038103179,9935.989158409026,-0.42311431631691904,2.020466026523057
0.7617014191137804,9937.135626479709,-0.4178639618626895,1.9926826955017722
0.7637098985710075,9937.219079254177,-0.3986161720733526,2.065413489495681
0.7614069658173468,9935.99146335657,-0.40623323158366653,2.0709102512962474
0.7824888914795279,9937.107135834993,-0.4174810651000807,2.0299462372666706
0.7800280824578153,9933.314808991865,-0.44696156433765705,2.0140505447099644
0.7775466188037102,9933.118516956361,-0.445539668252593,2.1053405901478484
0.7719136859622827,9935.800648406776,-0.4444369448178869,2.0915953887344063
0.7973296038964804,9942.7719399680609,-0.46619037272587033,2.063893902599746
0.772475120518194,9936.989820295361,-0.42540403926542913,2.078434520794374
0.7618885736060792,9938.050741483004,-0.4195740006031323,2.0950658891770737
0.7590578083187227,9938.471002164459,-0.4138637457981078,2.050163757485958
0.750530634793393,9940.79566020617,-0.3906438926903115,2.019071062103218
0.7685230566512975,9934.345576426069,-0.4231890434948602,2.0075479015155255
0.7778626695306241,9934.563327316871,-0.4283319234732921,2.104631813911649
0.7804070315389463,9934.965896315858,-0.4297329824464599,2.0617390103422633
0.797127101894466,9941.762728943264,-0.4187599111303071,1.9068343573873956
0.7679335124780061,9932.733789713493,-0.40342345489822584,2.0684030889272766
