b,deviance,mean.lambda,mean.t.pred
1.0596532298654253,17091.401605380197,-2.239338600057326,8.822298707600694
1.0409028630619621,17094.345666425335,-2.1837563526595503,8.336847361781784
1.056378435379019,17093.684910519703,-2.2162232432385935,8.312802115864931
1.0404892444821856,17093.581342608788,-2.149798097262325,8.287029114749695
1.0693494387282023,17098.853562824137,-2.2815696072649954,8.770620981261894
1.040705351956452,17098.5365517336,-2.2081484933352926,8.607276312774449
1.0226708968680094,17096.34447000783,-2.1167497241779905,8.070884459479936
1.0293009916921487,17097.846430760048,-2.1422080400655776,8.676055495547162
1.079139803901853,17092.881031359342,-2.2629210897693812,8.692457830016467
1.0558064041948374,17089.295279752816,-2.2445832418242198,8.864112938522211
1.0456422254972566,17085.680794651576,-2.188651228832553,8.66020070607332
1.06209327070808,17085.607202437626,-2.2230851866799592,8.37773938334858
1.0496346774911678,17085.43711831804,-2.197007896868191,8.460800878926307
1.0435979316432997,17085.86187375573,-2.184372283179379,8.824326400876311
1.0406968700528385,17086.184464715076,-2.1783000226488785,8.444168321828268
1.062842875655471,17087.437477499276,-2.2493436332063244,8.559480247569585
1.05509792055716,17092.125257723976,-2.1994249935519052,8.642725480206506
1.02946942567757,17092.658720535375,-2.111755735478173,8.064131785714492
1.0698731404204767,17095.90228502894,-2.2302314725519725,8.589401827616616
1.06236888784257,17096.1541013331,-2.2406077212788675,8.548354255805757
1.0609630365650957,17099.335051617,-2.2275620889117045,8.601473809207102
1.0147955238800666,17104.85403807609,-2.13063034157255,8.797068255775196
1.0912910725909697,17099.55744702873,-2.310148541578546,8.528042733160085
1.057365759305983,17096.766757424743,-2.2297060717886232,8.509976210261534
1.0417852920206352,17094.323371651008,-2.1975163505837116,8.477896652033841
1.0246384432018225,17097.786741507043,-2.1613472081232508,8.877358336208168
1.0563674625115855,17093.48252211957,-2.2282756234649135,8.770387828289053
1.0568178567963684,17092.0503411673,-2.2346631097993535,8.703746450491593
1.0477404016061798,17095.791823434818,-2.2156215257410747,8.775970086044698
1.0742714577599923,17090.112344650974,-2.2592380525564875,8.679389669477374
1.0446665645496658,17088.896283089558,-2.196977717145452,8.469751082131141
1.0162172747692961,17095.249343086965,-2.137147664344798,8.876494644303062
1.0381399725952158,17089.18360035591,-2.174973319134138,8.744148833068586
1.0530209820360077,17088.146549854777,-2.206150038410839,8.828682355146888
1.0464014911799475,17088.357457446582,-2.1922817582383765,8.775000054378495
1.0343634549117828,17089.8841701549,-2.16605769308877,8.735873850832139
1.03183906730705,17090.349915941777,-2.1607713798827133,8.65744458883849
1.0288096233901882,17093.00407515912,-2.164645879907634,8.51863936595299
1.0615977155187775,17094.110833038234,-2.225316565789855,8.7157507840808
1.050806007263507,17093.61120649327,-2.202695033355706,8.569682718145474
1.0241408059338601,17098.533730076415,-2.170161558696524,9.252682883297334
1.0305679879068252,17088.90657569887,-2.1180708880473085,8.055201626909009
1.0368233058601286,17087.37773004453,-2.114992354690429,8.189714692582841
1.028193011085011,17085.58322972041,-2.1404189147762747,8.560643855248859
1.0162260929760816,17088.81205467881,-2.1155070377300365,8.700688119711852
1.0760242909937496,17090.29605577431,-2.230191109656335,8.574862111018453
1.058923427496685,17087.170149185535,-2.1947474918330077,8.38898540262606
1.0508791320463011,17088.594885724106,-2.203943792841284,8.388313683650098
1.043598366885569,17091.930600261363,-2.150352564469808,8.412523021582086
1.0416845036875506,17091.96235721067,-2.1464090161024343,8.2763985836006
1.0331026725768437,17092.531871053903,-2.1287260040143487,8.207691889471594
1.0266436236406011,17094.266578748615,-2.1507802307088797,8.902266276729888
1.0565438216266276,17088.972421968465,-2.2018673794639985,8.633901823578753
1.0682206254602582,17088.813242799595,-2.242674725839047,8.607620826845174
1.0573705143550596,17088.970725144296,-2.2257441697540403,8.863109748810455
1.0388226498797546,17090.41508758143,-2.1811989310621387,8.40555034697571
1.068646489947339,17089.861553126975,-2.243819560370816,8.579724341487752
1.0316900163906364,17095.822606645565,-2.17158504783887,8.380062562458413
1.0494355458260416,17093.47503488597,-2.2089372813350834,8.648187498894321
1.0391452798813032,17094.487131644077,-2.1872774927271914,8.51782532820077
1.0722623190749683,17099.24083951111,-2.2610539232104476,8.431181942944248
1.0478494985514855,17096.02512530943,-2.1799693281192756,8.518622061258734
1.0447085394430735,17096.063651142293,-2.1734348071535665,8.337467196501155
1.0483659659984474,17096.02757783077,-2.1810437984462814,8.289135915811826
1.0386520316518872,17096.39772902059,-2.1608347140690447,8.990177285136308
1.0396650776320213,17096.929734098285,-2.1251159773882633,8.555640440211803
1.067396904022897,17097.344166966774,-2.216608195236856,8.331321798609364
1.0344899958098446,17100.545706900128,-2.1739467194838755,8.372831751637792
1.0276338318121514,17095.019091374208,-2.108577714129217,8.183657130910905
1.0537042471178395,17094.62263405455,-2.1620709867424135,8.175458646629354
1.062196860304831,17095.713357337383,-2.23333705743945,8.585966593465725
1.0451783013823375,17087.151537058944,-2.157348473000729,8.45401002109899
1.060723618869918,17087.975556023954,-2.1894355024576364,8.088656314488768
1.0383480613184424,17087.502464644866,-2.143250201009643,8.523801306651423
1.0682615469929475,17087.39540340365,-2.2175641824354138,8.019691209250022
1.0551436405916514,17086.165395935583,-2.1903332112693428,8.096721106162704
1.0408522556154216,17086.615029571378,-2.1606662598285067,8.099261459021536
1.0628922915555938,17087.787252801183,-2.2372388092717936,8.511376926280414
1.0676783858955574,17088.07686174933,-2.2473128648343694,8.440601438514177
1.0490529953004362,17092.326416788215,-2.199904924995634,8.420319943158843
1.0695711312131388,17094.200682992167,-2.244180686673901,8.832408129717148
1.0447091258400865,17093.641529774137,-2.1920150749984084,8.391721642366155
1.0536396027325186,17093.20274876797,-2.2107530562134485,8.468316576441389
